"user_login","user_name","repo_name","pr_title","pr_state","efficiency_branch_age","efficiency_commit_frequency","efficiency_first_response_time","efficiency_merge_frequency","efficiency_cycle_time","efficiency_pr_dependencies","efficiency_pr_iterations","efficiency_pr_size","efficiency_review_response_time","efficiency_wip_management","quality_ai_impact","quality_code_patterns","quality_complexity_trends","quality_composite_score","quality_documentation","quality_maintainability_score","quality_pr_description","quality_review_thoroughness","quality_security_score","quality_test_quality","wellness_maintenance_trend","wellness_feature_work","wellness_communication_tone","wellness_break_patterns","wellness_context_switching","wellness_proactive_work_score","wellness_feedback_reception","wellness_work_type_balance","wellness_maintenance_work","wellness_collaboration_balance","wellness_work_hours_pattern","avg_efficiency_score","avg_quality_score","avg_wellness_score"
"Ajanth",,"hivemindz","Develop","MERGED",99.6339174180737,90,75,75,0,100,60,34,100,100,70,70,70,70,70,70,70,70,70,70,60,79,75,75,100,54,80,61,11,50,18,64.7267834836147400,70.0000000000000000,60.2727272727272727
"Ajanth",,"hivemindz","Develop","MERGED",98.8064617686681,60,75,100,0,100,60,27,100,100,70,70,70,70,70,70,70,70,70,70,100,23,75,75,100,60,80,74,69,50,39,57.1612923537336200,70.0000000000000000,67.7272727272727273
"Ajanth",,"hivemindz","Merge develop branch","MERGED",99.9184578761341,100,75,100,85,100,75,78,100,100,70,70,70,70,70,70,70,70,70,70,100,23,75,75,100,70,80,85,23,50,99,92.5836915752268200,70.0000000000000000,70.9090909090909091
"Ajanth",,"hivemindz","merge develop branch ","MERGED",99.1751393911446,75,75,75,0,100,70,73,100,100,70,70,70,70,70,70,70,70,70,70,50,73,75,75,100,54,80,72,16,50,93,69.4350278782289200,70.0000000000000000,67.0909090909090909
"MarianBeuther",,"cluddy","Add the worst ember-testing-app you've ever seen","MERGED",99.8261166494834,80,73,100,1,100,85,5,100,100,50,50,62.2459331201855,61,62.2459331201855,73.1058578630005,26.8941421369995,73.1058578630005,73.1058578630005,81.7574476193644,60,35,50,75,100,70,100,75,2,71,98,57.1652233298966800,68.0430192931101800,66.9090909090909091
"MarianBeuther",,"cluddy","WIP: add first version of custom github action","MERGED",96.1378986966244,60,73,75,0,67,95,6,81,100,73.1058578630005,73.1058578630005,81.7574476193644,66,50,62.2459331201855,26.8941421369995,73.1058578630005,62.2459331201855,88.0797077977882,50,100,50,75,100,60,100,53,0,71,96,48.6275797393248800,69.3074713287949400,68.6363636363636364
"Pranay-Raman",,"devji"," add kb","MERGED",99.9807904248367,95,100,100,79,100,100,3,100,100,50,81.7574476193644,92.4141819978756,53,26.8941421369995,88.0797077977882,4.74258731775668,50,73.1058578630005,11.9202922022117,50,100,50,75,100,60,100,53,0,100,100,75.3961580849673400,42.3840584404423400,71.6363636363636364
"Pranay-Raman",,"devji","Accept arguments","MERGED",99.9657478370713,95,75,100,90,100,75,88,100,100,50,81.7574476193644,73.1058578630005,50,11.9202922022117,73.1058578630005,20,26.8941421369995,88.0797077977882,26.8941421369995,50,0,75,75,100,65,80,100,0,50,50,94.5931495674142600,40.7576568547997800,58.6363636363636364
"Pranay-Raman",,"devji","Moving the kb folder","MERGED",99.7752672724687,85,100,100,53,100,75,89,100,100,50,81.7574476193644,73.1058578630005,58,62.2459331201855,81.7574476193644,11.9202922022117,50,88.0797077977882,26.8941421369995,50,0,50,75,100,65,100,100,0,83,100,85.3550534544937400,55.4439566109946400,65.7272727272727273
"Pranay-Raman",,"devji","Runnnable script","MERGED",99.8935832322254,100,75,75,89,100,75,90,100,100,70,70,70,70,70,70,70,70,70,70,50,0,75,75,100,75,80,53,0,50,99,95.7787166464450800,70.0000000000000000,59.7272727272727273
"autouser",,"cib","TPS-1000 Add `buildSecrets` shorthand notation","MERGED",99.8149746353924,100,100,100,82,100,100,93,72,100,50,88.0797077977882,92.4141819978756,73,62.2459331201855,88.0797077977882,26.8941421369995,73.1058578630005,81.7574476193644,90,80,64,50,75,100,65,100,77,11,79,100,89.3629949270784800,71.4218477205100800,72.8181818181818182
"autouser",,"cib","TPS-1001 update buildSecrets YAML schema","MERGED",99.8600367821651,85,100,75,71,100,75,95,100,100,11.9202922022117,92.4141819978756,90,61,73.1058578630005,88.0797077977882,26.8941421369995,50,88.0797077977882,26.8941421369995,100,65,50,75,100,65,100,74,35,75,100,90.1720073564330200,49.9999999999999800,76.2727272727272727
"autouser",,"cib","TPS-1008 Restrict go-releaser to run only on main branch","MERGED",99.7570652815602,85,100,55,27,100,80,95,100,90,73.1058578630005,92.4141819978756,90,70,73.1058578630005,90,26.8941421369995,73.1058578630005,88.0797077977882,26.8941421369995,100,100,50,75,67,65,100,53,0,75,62,81.3514130563120400,66.8582847047578400,67.9090909090909091
"autouser",,"cib","TPS-970 add CIB version and render it to labels and annotations","MERGED",92.5597440733307,85,100,75,0,100,80,54,0,100,73.1058578630005,88.0797077977882,81.7574476193644,80,73.1058578630005,88.0797077977882,50,81.7574476193644,92.4141819978756,88.0797077977882,30,76,50,75,100,65,100,68,0,70,99,46.3119488146661400,81.6926106282058400,66.6363636363636364
"autouser",,"cib","TPS-978 feat(manifest): Add postgres resources to JSON API schema","MERGED",94.7847470068773,80,73,75,0,0,80,40,5,100,70,70,70,70,70,70,70,70,70,70,50,93,50,75,100,65,100,58,7,66,92,43.9569494013754600,70.0000000000000000,68.7272727272727273
"autouser",,"cib","TPS-983 [cib] Define `buildSecrets` schema & parse in Manifest","MERGED",92.5531598888711,65,100,75,0,67,80,44,74,100,73.1058578630005,92.4141819978756,81.7574476193644,78,73.1058578630005,85.8148935099512,26.8941421369995,88.0797077977882,88.0797077977882,90,100,89,50,75,100,65,100,61,11,94,96,55.1106319777742200,82.4742262643154800,76.4545454545454545
"autouser",,"cib","TPS-984 Render buildSecrets in `compose.yaml`","MERGED",98.7476551386866,80,100,75,0,100,95,16,100,100,50,88.0797077977882,73.1058578630005,71,62.2459331201855,76.8524783499018,26.8941421369995,81.7574476193644,81.7574476193644,100,100,54,50,75,100,75,100,80,6,70,99,58.9495310277373200,75.1521656717828600,73.5454545454545455
"autouser",,"cib","TPS-985 Add `exec` to `buildSecrets`","MERGED",99.3541627217905,100,100,80,0,67,100,60,75,100,62.2459331201855,81.7574476193644,73.1058578630005,77,73.1058578630005,76.8524783499018,50,81.7574476193644,92.4141819978756,100,100,81,50,75,100,65,100,65,19,60,97,66.8708325443581000,81.9046841200852000,73.8181818181818182
"buschtoens",,"cib","TPS-1002 feat(manifest): update `account` aliases in schema","MERGED",99.9865622804469,85,100,50,90,100,75,95,100,100,88.0797077977882,92.4141819978756,95,78,73.1058578630005,90,50,73.1058578630005,90,50,100,53,50,75,100,65,100,76,47,83,100,93.9973124560893800,74.8582847047578400,77.1818181818181818
"buschtoens",,"cib","TPS-1007 fix(compose): use env build secret over exec fallback","MERGED",99.9908304075641,85,100,100,91,100,80,95,100,100,73.1058578630005,92.4141819978756,90,73,88.0797077977882,100,26.8941421369995,73.1058578630005,88.0797077977882,26.8941421369995,100,47,50,75,100,65,100,76,53,83,100,94.1981660815128200,69.8530546917153800,77.1818181818181818
"buschtoens",,"cib","TPS-986 feat(manifest): add `github` build secret preset","MERGED",99.9572329460351,85,100,100,87,100,75,95,100,100,50,92.4141819978756,90,68,73.1058578630005,88.0797077977882,26.8941421369995,73.1058578630005,88.0797077977882,26.8941421369995,100,100,50,75,100,65,100,53,0,83,100,93.3914465892070200,62.2371131321577400,75.0909090909090909
"buschtoens",,"cib","TPS-986 refactor(manifest): move BuildSecrets to own file","MERGED",99.9901468364648,100,100,74,90,100,100,37,76,100,50,88.0797077977882,73.1058578630005,74,73.1058578630005,92.4141819978756,26.8941421369995,81.7574476193644,81.7574476193644,100,100,27,50,75,100,75,100,70,0,100,99,80.5980293672929600,77.3241506203458600,72.3636363636363636
